Object_Name	Object_Type
HO Base Demand File	DataSource
HO Base Demand	Variable
HO Daily Demand Growth File	DataSource
HO Daily Demand Growth	Variable
HO Daily Demand Stochastic File	DataSource
HO Daily Demand Stochastic	Variable
HO Demand DIY File	DataSource
HO Demand DIY	Variable
HO Demand DOW File	DataSource
HO Demand DOW	Variable
HO Demand HOD File	DataSource
HO Demand HOD	Variable
HO Demand Historic Day Ahead File	DataSource
HO Demand Historic Day Ahead	Variable
HO Demand	Demand
HO DSR Bid Volume 2017	Variable
HO DSR Bid Price 2017	Variable
HO DSR Bid Volume 2018	Variable
HO DSR Bid Price 2018	Variable
HO DSR Bid Volume 2019	Variable
HO DSR Bid Price 2019	Variable
HO DSR Bid Volume 2020	Variable
HO DSR Bid Price 2020	Variable
HO DSR Bid Volume 2021	Variable
HO DSR Bid Price 2021	Variable
HO DSR Bid Volume 2022	Variable
HO DSR Bid Price 2022	Variable
HO DSR Bid Volume 2023	Variable
HO DSR Bid Price 2023	Variable
HO DSR Bid Volume 2024	Variable
HO DSR Bid Price 2024	Variable
HO DSR Bid Volume 2025	Variable
HO DSR Bid Price 2025	Variable
HO DSR Bid Volume 2026	Variable
HO DSR Bid Price 2026	Variable
HO DSR Bid Volume 2027	Variable
HO DSR Bid Price 2027	Variable
HO DSR Bid Volume 2028	Variable
HO DSR Bid Price 2028	Variable
HO DSR Bid Volume 2029	Variable
HO DSR Bid Price 2029	Variable
HO DSR Bid Volume 2030	Variable
HO DSR Bid Price 2030	Variable
HO DSR Bid Volume 2031	Variable
HO DSR Bid Price 2031	Variable
HO DSR Bid Volume 2032	Variable
HO DSR Bid Price 2032	Variable
HO DSR Bid Volume 2033	Variable
HO DSR Bid Price 2033	Variable
HO DSR Bid Volume 2034	Variable
HO DSR Bid Price 2034	Variable
HO DSR Bid Volume 2035	Variable
HO DSR Bid Price 2035	Variable
HO DSR Bid Volume 2036	Variable
HO DSR Bid Price 2036	Variable
HO DSR Bid Volume 2037	Variable
HO DSR Bid Price 2037	Variable
HO DSR Bid Volume 2038	Variable
HO DSR Bid Price 2038	Variable
HO DSR Bid Volume 2039	Variable
HO DSR Bid Price 2039	Variable
HO DSR Bid Volume 2040	Variable
HO DSR Bid Price 2040	Variable
HO DSR Bid Volume 2041	Variable
HO DSR Bid Price 2041	Variable
HO DSR Bid Volume 2042	Variable
HO DSR Bid Price 2042	Variable
HO DSR Bid Volume 2043	Variable
HO DSR Bid Price 2043	Variable
HO DSR Bid Volume 2044	Variable
HO DSR Bid Price 2044	Variable
HO DSR Bid Volume 2045	Variable
HO DSR Bid Price 2045	Variable
HO DSR Bid Volume 2046	Variable
HO DSR Bid Price 2046	Variable
HO DSR Bid Volume 2047	Variable
HO DSR Bid Price 2047	Variable
HO DSR Bid Volume 2048	Variable
HO DSR Bid Price 2048	Variable
HO DSR Bid Volume 2049	Variable
HO DSR Bid Price 2049	Variable
HO DSR Bid Volume 2050	Variable
HO DSR Bid Price 2050	Variable
HO DSR Bid Volume 2051	Variable
HO DSR Bid Price 2051	Variable
HO DSR Bid Volume 2052	Variable
HO DSR Bid Price 2052	Variable
HO DSR Bid Volume 2053	Variable
HO DSR Bid Price 2053	Variable
HO DSR Bid Volume 2054	Variable
HO DSR Bid Price 2054	Variable
HO DSR Bid Volume 2055	Variable
HO DSR Bid Price 2055	Variable
HO DSR Bid Volume 2056	Variable
HO DSR Bid Price 2056	Variable
HO DSR Bid Volume 2057	Variable
HO DSR Bid Price 2057	Variable
HO DSR Bid Volume 2058	Variable
HO DSR Bid Price 2058	Variable
HO DSR Bid Volume 2059	Variable
HO DSR Bid Price 2059	Variable
HO DSR Bid Volume 2060	Variable
HO DSR Bid Price 2060	Variable
HO DSR Bid Volume 2061	Variable
HO DSR Bid Price 2061	Variable
HO DSR Bid Volume 2062	Variable
HO DSR Bid Price 2062	Variable
HO DSR Bid Volume 2063	Variable
HO DSR Bid Price 2063	Variable
HO DSR Bid Volume 2064	Variable
HO DSR Bid Price 2064	Variable
HO DSR Bid Volume 2065	Variable
HO DSR Bid Price 2065	Variable
HO DSR Bid Volume 2066	Variable
HO DSR Bid Price 2066	Variable
HO DSR Bid Volume 2067	Variable
HO DSR Bid Price 2067	Variable
HO DSR Bid Volume 2068	Variable
HO DSR Bid Price 2068	Variable
HO DSR Bid Volume 2069	Variable
HO DSR Bid Price 2069	Variable
HO DSR Bid Volume 2070	Variable
HO DSR Bid Price 2070	Variable
HO DSR Bid Volume 2071	Variable
HO DSR Bid Price 2071	Variable
HO DSR Bid Volume 2072	Variable
HO DSR Bid Price 2072	Variable
HO DSR Bid Volume 2073	Variable
HO DSR Bid Price 2073	Variable
HO DSR Bid Volume 2074	Variable
HO DSR Bid Price 2074	Variable
HO DSR Bid Volume 2075	Variable
HO DSR Bid Price 2075	Variable
HO DSR Bid Volume 2076	Variable
HO DSR Bid Price 2076	Variable
HO DSR Bid Volume 2077	Variable
HO DSR Bid Price 2077	Variable
HO DSR Bid Volume 2078	Variable
HO DSR Bid Price 2078	Variable
HO DSR Bid Volume 2079	Variable
HO DSR Bid Price 2079	Variable
HO DSR Bid Volume 2080	Variable
HO DSR Bid Price 2080	Variable
HO DSR Bid Volume 2081	Variable
HO DSR Bid Price 2081	Variable
HO DSR Bid Volume 2082	Variable
HO DSR Bid Price 2082	Variable
