Object_Name	Object_Type
HO Coal 1990	Generator
HO Coal 1995	Generator
HO Coal 2000	Generator
HO Coal 2005	Generator
HO Coal 2010	Generator
HO Coal 2015	Generator
HO Coal 2020	Generator
HO Coal 2025	Generator
HO Coal 2030	Generator
HO Coal 2035	Generator
HO Coal 2040	Generator
HO Coal 2045	Generator
HO Coal 2050	Generator
HO Coal 2055	Generator
HO Coal 2060	Generator
HO Coal 2065	Generator
HO CCGT 1990	Generator
HO CCGT 1995	Generator
HO CCGT 2000	Generator
HO CCGT 2005	Generator
HO CCGT 2010	Generator
HO CCGT 2015	Generator
HO CCGT 2020	Generator
HO CCGT 2025	Generator
HO CCGT 2030	Generator
HO CCGT 2031	Generator
HO CCGT 2032	Generator
HO CCGT 2033	Generator
HO CCGT 2034	Generator
HO CCGT 2035	Generator
HO CCGT 2036	Generator
HO CCGT 2037	Generator
HO CCGT 2038	Generator
HO CCGT 2039	Generator
HO CCGT 2040	Generator
HO CCGT 2041	Generator
HO CCGT 2042	Generator
HO CCGT 2043	Generator
HO CCGT 2044	Generator
HO CCGT 2045	Generator
HO CCGT 2046	Generator
HO CCGT 2047	Generator
HO CCGT 2048	Generator
HO CCGT 2049	Generator
HO CCGT 2050	Generator
HO CCGT 2051	Generator
HO CCGT 2052	Generator
HO CCGT 2053	Generator
HO CCGT 2054	Generator
HO CCGT 2055	Generator
HO CCGT 2056	Generator
HO CCGT 2057	Generator
HO CCGT 2058	Generator
HO CCGT 2059	Generator
HO CCGT 2060	Generator
HO CCGT 2061	Generator
HO CCGT 2062	Generator
HO CCGT 2063	Generator
HO CCGT 2064	Generator
HO CCGT 2065	Generator
HO OCGT 1990	Generator
HO OCGT 1995	Generator
HO OCGT 2000	Generator
HO OCGT 2005	Generator
HO OCGT 2010	Generator
HO OCGT 2015	Generator
HO OCGT 2020	Generator
HO OCGT 2025	Generator
HO OCGT 2030	Generator
HO OCGT 2035	Generator
HO OCGT 2040	Generator
HO OCGT 2045	Generator
HO OCGT 2050	Generator
HO OCGT 2055	Generator
HO OCGT 2060	Generator
HO OCGT 2065	Generator
HO Biomass 1990	Generator
HO Biomass 1995	Generator
HO Biomass 2000	Generator
HO Biomass 2005	Generator
HO Biomass 2010	Generator
HO Biomass 2015	Generator
HO Biomass 2020	Generator
HO Biomass 2025	Generator
HO Biomass 2030	Generator
HO Biomass 2035	Generator
HO Biomass 2040	Generator
HO Biomass 2045	Generator
HO Biomass 2050	Generator
HO Biomass 2055	Generator
HO Biomass 2060	Generator
HO Biomass 2065	Generator
HO Lignite 1990	Generator
HO Lignite 1995	Generator
HO Lignite 2000	Generator
HO Lignite 2005	Generator
HO Lignite 2010	Generator
HO Lignite 2015	Generator
HO Lignite 2020	Generator
HO Lignite 2025	Generator
HO Lignite 2030	Generator
HO Lignite 2035	Generator
HO Lignite 2040	Generator
HO Lignite 2045	Generator
HO Lignite 2050	Generator
HO Lignite 2055	Generator
HO Lignite 2060	Generator
HO Lignite 2065	Generator
HO Nuclear 1990	Generator
HO Nuclear 1995	Generator
HO Nuclear 2000	Generator
HO Nuclear 2005	Generator
HO Nuclear 2010	Generator
HO Nuclear 2015	Generator
HO Nuclear 2020	Generator
HO CHP 1990	Generator
HO CHP 1995	Generator
HO CHP 2000	Generator
HO CHP 2005	Generator
HO CHP 2010	Generator
HO CHP 2015	Generator
HO CHP 2020	Generator
HO CHP 2025	Generator
HO CHP 2030	Generator
HO CHP 2035	Generator
HO CHP 2040	Generator
HO CHP 2045	Generator
HO CHP 2050	Generator
HO CHP 2055	Generator
HO CHP 2060	Generator
HO CHP 2065	Generator
HO Liquid 1990	Generator
HO Liquid 1995	Generator
HO Liquid 2000	Generator
HO Liquid 2005	Generator
HO Liquid 2010	Generator
HO Liquid 2015	Generator
HO Liquid 2020	Generator
HO Liquid 2025	Generator
HO Liquid 2030	Generator
HO Liquid 2035	Generator
HO Liquid 2040	Generator
HO Liquid 2045	Generator
HO Liquid 2050	Generator
HO Liquid 2055	Generator
HO Liquid 2060	Generator
HO Liquid 2065	Generator
HO NSC Muroran Works	Generator
HO Sunagawa no3	Generator
HO Sunagawa no4	Generator
HO Naie no1	Generator
HO Naie no2	Generator
HO Tomato-Atsuma no1	Generator
HO Tomato-Atsuma no2	Generator
HO Tomato-Atsuma no4	Generator
HO Ishikari Bay Shinko CC no1	Generator
HO Tomakomai	Generator
HO Tomakomai Kyodo no3	Generator
HO Onbetsu	Generator
HO Date no1	Generator
HO Date no2	Generator
HO Shiriuchi no1	Generator
HO Shiriuchi no2	Generator
HO Tomari Nuclear no1	Generator
HO Tomari Nuclear no2	Generator
HO Tomari Nuclear no3	Generator
