Object_Name	Object_Type
TO Base Demand File	DataSource
TO Base Demand	Variable
TO Daily Demand Growth File	DataSource
TO Daily Demand Growth	Variable
TO Daily Demand Stochastic File	DataSource
TO Daily Demand Stochastic	Variable
TO Demand DIY File	DataSource
TO Demand DIY	Variable
TO Demand DOW File	DataSource
TO Demand DOW	Variable
TO Demand HOD File	DataSource
TO Demand HOD	Variable
TO Demand Historic Day Ahead File	DataSource
TO Demand Historic Day Ahead	Variable
TO Demand	Demand
TO DSR Bid Volume 2017	Variable
TO DSR Bid Price 2017	Variable
TO DSR Bid Volume 2018	Variable
TO DSR Bid Price 2018	Variable
TO DSR Bid Volume 2019	Variable
TO DSR Bid Price 2019	Variable
TO DSR Bid Volume 2020	Variable
TO DSR Bid Price 2020	Variable
TO DSR Bid Volume 2021	Variable
TO DSR Bid Price 2021	Variable
TO DSR Bid Volume 2022	Variable
TO DSR Bid Price 2022	Variable
TO DSR Bid Volume 2023	Variable
TO DSR Bid Price 2023	Variable
TO DSR Bid Volume 2024	Variable
TO DSR Bid Price 2024	Variable
TO DSR Bid Volume 2025	Variable
TO DSR Bid Price 2025	Variable
TO DSR Bid Volume 2026	Variable
TO DSR Bid Price 2026	Variable
TO DSR Bid Volume 2027	Variable
TO DSR Bid Price 2027	Variable
TO DSR Bid Volume 2028	Variable
TO DSR Bid Price 2028	Variable
TO DSR Bid Volume 2029	Variable
TO DSR Bid Price 2029	Variable
TO DSR Bid Volume 2030	Variable
TO DSR Bid Price 2030	Variable
TO DSR Bid Volume 2031	Variable
TO DSR Bid Price 2031	Variable
TO DSR Bid Volume 2032	Variable
TO DSR Bid Price 2032	Variable
TO DSR Bid Volume 2033	Variable
TO DSR Bid Price 2033	Variable
TO DSR Bid Volume 2034	Variable
TO DSR Bid Price 2034	Variable
TO DSR Bid Volume 2035	Variable
TO DSR Bid Price 2035	Variable
TO DSR Bid Volume 2036	Variable
TO DSR Bid Price 2036	Variable
TO DSR Bid Volume 2037	Variable
TO DSR Bid Price 2037	Variable
TO DSR Bid Volume 2038	Variable
TO DSR Bid Price 2038	Variable
TO DSR Bid Volume 2039	Variable
