Object_Name	Object_Type
TO Coal 1990	Generator
TO Coal 1995	Generator
TO Coal 2000	Generator
TO Coal 2005	Generator
TO Coal 2010	Generator
TO Coal 2015	Generator
TO Coal 2020	Generator
TO Coal 2025	Generator
TO Coal 2030	Generator
TO Coal 2035	Generator
TO Coal 2040	Generator
TO Coal 2045	Generator
TO Coal 2050	Generator
TO Coal 2055	Generator
TO Coal 2060	Generator
TO Coal 2065	Generator
TO CCGT 1990	Generator
TO CCGT 1995	Generator
TO CCGT 2000	Generator
TO CCGT 2005	Generator
TO CCGT 2010	Generator
TO CCGT 2015	Generator
TO CCGT 2020	Generator
TO CCGT 2025	Generator
TO CCGT 2030	Generator
TO CCGT 2031	Generator
TO CCGT 2032	Generator
TO CCGT 2033	Generator
TO CCGT 2034	Generator
TO CCGT 2035	Generator
TO CCGT 2036	Generator
TO CCGT 2037	Generator
TO CCGT 2038	Generator
TO CCGT 2039	Generator
TO CCGT 2040	Generator
TO CCGT 2041	Generator
TO CCGT 2042	Generator
TO CCGT 2043	Generator
TO CCGT 2044	Generator
TO CCGT 2045	Generator
TO CCGT 2046	Generator
TO CCGT 2047	Generator
TO CCGT 2048	Generator
TO CCGT 2049	Generator
TO CCGT 2050	Generator
TO CCGT 2051	Generator
TO CCGT 2052	Generator
TO CCGT 2053	Generator
TO CCGT 2054	Generator
TO CCGT 2055	Generator
TO CCGT 2056	Generator
TO CCGT 2057	Generator
TO CCGT 2058	Generator
TO CCGT 2059	Generator
TO CCGT 2060	Generator
TO CCGT 2061	Generator
TO CCGT 2062	Generator
TO CCGT 2063	Generator
TO CCGT 2064	Generator
TO CCGT 2065	Generator
TO OCGT 1990	Generator
TO OCGT 1995	Generator
TO OCGT 2000	Generator
TO OCGT 2005	Generator
TO OCGT 2010	Generator
TO OCGT 2015	Generator
TO OCGT 2020	Generator
TO OCGT 2025	Generator
TO OCGT 2030	Generator
TO OCGT 2035	Generator
TO OCGT 2040	Generator
TO OCGT 2045	Generator
TO OCGT 2050	Generator
TO OCGT 2055	Generator
TO OCGT 2060	Generator
TO OCGT 2065	Generator
TO Biomass 1990	Generator
TO Biomass 1995	Generator
TO Biomass 2000	Generator
TO Biomass 2005	Generator
TO Biomass 2010	Generator
TO Biomass 2015	Generator
TO Biomass 2020	Generator
TO Biomass 2025	Generator
TO Biomass 2030	Generator
TO Biomass 2035	Generator
TO Biomass 2040	Generator
TO Biomass 2045	Generator
TO Biomass 2050	Generator
TO Biomass 2055	Generator
TO Biomass 2060	Generator
TO Biomass 2065	Generator
TO Lignite 1990	Generator
TO Lignite 1995	Generator
TO Lignite 2000	Generator
TO Lignite 2005	Generator
TO Lignite 2010	Generator
TO Lignite 2015	Generator
TO Lignite 2020	Generator
TO Lignite 2025	Generator
TO Lignite 2030	Generator
TO Lignite 2035	Generator
TO Lignite 2040	Generator
TO Lignite 2045	Generator
TO Lignite 2050	Generator
TO Lignite 2055	Generator
TO Lignite 2060	Generator
TO Lignite 2065	Generator
TO Nuclear 1990	Generator
TO Nuclear 1995	Generator
TO Nuclear 2000	Generator
TO Nuclear 2005	Generator
TO Nuclear 2010	Generator
TO Nuclear 2015	Generator
TO Nuclear 2020	Generator
TO CHP 1990	Generator
TO CHP 1995	Generator
TO CHP 2000	Generator
TO CHP 2005	Generator
TO CHP 2010	Generator
TO CHP 2015	Generator
TO CHP 2020	Generator
TO CHP 2025	Generator
TO CHP 2030	Generator
TO CHP 2035	Generator
TO CHP 2040	Generator
TO CHP 2045	Generator
TO CHP 2050	Generator
TO CHP 2055	Generator
TO CHP 2060	Generator
TO CHP 2065	Generator
TO Liquid 1990	Generator
TO Liquid 1995	Generator
TO Liquid 2000	Generator
TO Liquid 2005	Generator
TO Liquid 2010	Generator
TO Liquid 2015	Generator
TO Liquid 2020	Generator
TO Liquid 2025	Generator
TO Liquid 2030	Generator
TO Liquid 2035	Generator
TO Liquid 2040	Generator
TO Liquid 2045	Generator
TO Liquid 2050	Generator
TO Liquid 2055	Generator
TO Liquid 2060	Generator
TO Liquid 2065	Generator
TO Kamisu	Generator
TO Suzukawa_Energy_Center	Generator
TO Nakoso_u10	Generator
TO Negishi_IGCC	Generator
TO NSC_Kashima_Works	Generator
TO Hirono_u5	Generator
TO Hirono_u6	Generator
TO Isogo_u1	Generator
