Object_Name	Object_Type
TO Batteries 2020	Storage
TO Batteries 2021	Storage
TO Batteries 2022	Storage
TO Batteries 2023	Storage
TO Batteries 2024	Storage
TO Batteries 2025	Storage
TO Batteries 2026	Storage
TO Batteries 2027	Storage
TO Batteries 2028	Storage
TO Batteries 2029	Storage
TO Batteries 2030	Storage
TO Batteries 2031	Storage
TO Batteries 2032	Storage
TO Batteries 2033	Storage
TO Batteries 2034	Storage
TO Batteries 2035	Storage
TO Batteries 2036	Storage
TO Batteries 2037	Storage
TO Batteries 2038	Storage
TO Batteries 2039	Storage
TO Batteries 2040	Storage
TO Pumped Storage	Storage
TO Batteries 2h 2020	Storage
TO Batteries 2h 2021	Storage
TO Batteries 2h 2022	Storage
TO Batteries 2h 2023	Storage
TO Batteries 2h 2024	Storage
TO Batteries 2h 2025	Storage
TO Batteries 2h 2026	Storage
TO Batteries 2h 2027	Storage
TO Batteries 2h 2028	Storage
TO Batteries 2h 2029	Storage
TO Batteries 2h 2030	Storage
TO Batteries 2h 2031	Storage
TO Batteries 2h 2032	Storage
TO Batteries 2h 2033	Storage
TO Batteries 2h 2034	Storage
TO Batteries 2h 2035	Storage
TO Batteries 2h 2036	Storage
TO Batteries 2h 2037	Storage
TO Batteries 2h 2038	Storage
TO Batteries 2h 2039	Storage
TO Batteries 2h 2040	Storage
TO Batteries 4h 2020	Storage
TO Batteries 4h 2021	Storage
TO Batteries 4h 2022	Storage
TO Batteries 4h 2023	Storage
TO Batteries 4h 2024	Storage
TO Batteries 4h 2025	Storage
TO Batteries 4h 2026	Storage
TO Batteries 4h 2027	Storage
TO Batteries 4h 2028	Storage
TO Batteries 4h 2029	Storage
TO Batteries 4h 2030	Storage
TO Batteries 4h 2031	Storage
TO Batteries 4h 2032	Storage
TO Batteries 4h 2033	Storage
TO Batteries 4h 2034	Storage
TO Batteries 4h 2035	Storage
TO Batteries 4h 2036	Storage
TO Batteries 4h 2037	Storage
TO Batteries 4h 2038	Storage
TO Batteries 4h 2039	Storage
TO Batteries 4h 2040	Storage
