Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
TO Daily Demand Stochastic			Value	2010-01-01	2100-01-01	TO Daily Demand Stochastic File	TO Base Demand	Multiply					
TO Demand DIY			Value	2010-01-01	2100-01-01	TO Demand DIY File	TO Daily Demand Stochastic	Multiply					
TO Demand DOW			Value	2010-01-01	2100-01-01	TO Demand DOW File	TO Demand DIY	Multiply					
TO Demand HOD			Value	2010-01-01	2100-01-01	TO Demand HOD File	TO Demand DOW	Multiply					
TO Demand Historic Day Ahead			Value	2010-01-01	2100-01-01	TO Demand Historic Day Ahead File							
TO Base Demand			Value	2010-01-01	2100-01-01	Base Demand File							
TO Demand			Bid Volume	2010-01-01	2100-01-01	TO Demand HOD	TO DSR Adjustment	Add			1	1	
TO Demand			Bid Price	2010-01-01	2100-01-01	100000					1	1	
TO DSR Bid Volume 2017			Value	2017-01-01	2100-01-01	800							
TO Demand			Bid Volume	2017-01-01	2100-01-01	TO DSR Bid Volume 2017					2	2	
TO DSR Bid Price 2017			Value	2017-01-01	2100-01-01	400							
TO Demand			Bid Price	2017-01-01	2100-01-01	TO DSR Bid Price 2017					2	2	
TO DSR Adjustment			Value	2017-01-01	2100-01-01	-800							
TO DSR Bid Volume 2018			Value	2018-01-01	2100-01-01	80							
TO Demand			Bid Volume	2018-01-01	2100-01-01	TO DSR Bid Volume 2018					3	3	
TO DSR Bid Price 2018			Value	2018-01-01	2100-01-01	575.5							
TO Demand			Bid Price	2018-01-01	2100-01-01	TO DSR Bid Price 2018					3	3	
TO DSR Adjustment			Value	2018-01-01	2100-01-01	-880							
TO DSR Bid Volume 2019			Value	2019-01-01	2100-01-01	80							
TO Demand			Bid Volume	2019-01-01	2100-01-01	TO DSR Bid Volume 2019					4	4	
TO DSR Bid Price 2019			Value	2019-01-01	2100-01-01	405							
TO Demand			Bid Price	2019-01-01	2100-01-01	TO DSR Bid Price 2019					4	4	
TO DSR Adjustment			Value	2019-01-01	2100-01-01	-960							
TO DSR Bid Volume 2020			Value	2020-01-01	2100-01-01	80							
TO Demand			Bid Volume	2020-01-01	2100-01-01	TO DSR Bid Volume 2020					5	5	
TO DSR Bid Price 2020			Value	2020-01-01	2100-01-01	570.5							
TO Demand			Bid Price	2020-01-01	2100-01-01	TO DSR Bid Price 2020					5	5	
TO DSR Adjustment			Value	2020-01-01	2100-01-01	-1040							
TO DSR Bid Volume 2021			Value	2021-01-01	2100-01-01	80							
TO Demand			Bid Volume	2021-01-01	2100-01-01	TO DSR Bid Volume 2021					6	6	
TO DSR Bid Price 2021			Value	2021-01-01	2100-01-01	410							
TO Demand			Bid Price	2021-01-01	2100-01-01	TO DSR Bid Price 2021					6	6	
TO DSR Adjustment			Value	2021-01-01	2100-01-01	-1120							
TO DSR Bid Volume 2022			Value	2022-01-01	2100-01-01	80							
TO Demand			Bid Volume	2022-01-01	2100-01-01	TO DSR Bid Volume 2022					7	7	
TO DSR Bid Price 2022			Value	2022-01-01	2100-01-01	565.5							
TO Demand			Bid Price	2022-01-01	2100-01-01	TO DSR Bid Price 2022					7	7	
TO DSR Adjustment			Value	2022-01-01	2100-01-01	-1200							
TO DSR Bid Volume 2023			Value	2023-01-01	2100-01-01	80							
TO Demand			Bid Volume	2023-01-01	2100-01-01	TO DSR Bid Volume 2023					8	8	
TO DSR Bid Price 2023			Value	2023-01-01	2100-01-01	415							
TO Demand			Bid Price	2023-01-01	2100-01-01	TO DSR Bid Price 2023					8	8	
TO DSR Adjustment			Value	2023-01-01	2100-01-01	-1280							
TO DSR Bid Volume 2024			Value	2024-01-01	2100-01-01	80							
TO Demand			Bid Volume	2024-01-01	2100-01-01	TO DSR Bid Volume 2024					9	9	
TO DSR Bid Price 2024			Value	2024-01-01	2100-01-01	560.5							
TO Demand			Bid Price	2024-01-01	2100-01-01	TO DSR Bid Price 2024					9	9	
TO DSR Adjustment			Value	2024-01-01	2100-01-01	-1360							
TO DSR Bid Volume 2025			Value	2025-01-01	2100-01-01	80							
TO Demand			Bid Volume	2025-01-01	2100-01-01	TO DSR Bid Volume 2025					10	10	
TO DSR Bid Price 2025			Value	2025-01-01	2100-01-01	420							
TO Demand			Bid Price	2025-01-01	2100-01-01	TO DSR Bid Price 2025					10	10	
TO DSR Adjustment			Value	2025-01-01	2100-01-01	-1440							
TO DSR Bid Volume 2026			Value	2026-01-01	2100-01-01	80							
TO Demand			Bid Volume	2026-01-01	2100-01-01	TO DSR Bid Volume 2026					11	11	
TO DSR Bid Price 2026			Value	2026-01-01	2100-01-01	555.5							
TO Demand			Bid Price	2026-01-01	2100-01-01	TO DSR Bid Price 2026					11	11	
TO DSR Adjustment			Value	2026-01-01	2100-01-01	-1520							
TO DSR Bid Volume 2027			Value	2027-01-01	2100-01-01	80							
TO Demand			Bid Volume	2027-01-01	2100-01-01	TO DSR Bid Volume 2027					12	12	
TO DSR Bid Price 2027			Value	2027-01-01	2100-01-01	425							
TO Demand			Bid Price	2027-01-01	2100-01-01	TO DSR Bid Price 2027					12	12	
TO DSR Adjustment			Value	2027-01-01	2100-01-01	-1600							
TO DSR Bid Volume 2028			Value	2028-01-01	2100-01-01	4145.45							
TO Demand			Bid Volume	2028-01-01	2100-01-01	TO DSR Bid Volume 2028					13	13	
TO DSR Bid Price 2028			Value	2028-01-01	2100-01-01	550.5							
TO Demand			Bid Price	2028-01-01	2100-01-01	TO DSR Bid Price 2028					13	13	
TO DSR Adjustment			Value	2028-01-01	2100-01-01	-5745.45							
TO DSR Bid Volume 2029			Value	2029-01-01	2100-01-01	130							
TO Demand			Bid Volume	2029-01-01	2100-01-01	TO DSR Bid Volume 2029					14	14	
TO DSR Bid Price 2029			Value	2029-01-01	2100-01-01	430							
TO Demand			Bid Price	2029-01-01	2100-01-01	TO DSR Bid Price 2029					14	14	
TO DSR Adjustment			Value	2029-01-01	2100-01-01	-5875.45							
TO DSR Bid Volume 2030			Value	2030-01-01	2100-01-01	380							
TO Demand			Bid Volume	2030-01-01	2100-01-01	TO DSR Bid Volume 2030					15	15	
TO DSR Bid Price 2030			Value	2030-01-01	2100-01-01	545.5							
