Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
TO Coal 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	0							
TO Coal 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	0							
TO Coal 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	0							
TO Coal 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	0							
TO Coal 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	0							
TO Coal 2015			Bid Up Heat Rate	2015-01-01	2065-01-01	0							
TO Coal 2020			Bid Up Heat Rate	2020-01-01	2070-01-01	0							
TO Coal 2025			Bid Up Heat Rate	2025-01-01	2075-01-01	0							
TO Coal 2030			Bid Up Heat Rate	2030-01-01	2080-01-01	0							
TO Coal 2035			Bid Up Heat Rate	2035-01-01	2085-01-01	0							
TO Coal 2040			Bid Up Heat Rate	2040-01-01	2090-01-01	0							
TO Coal 2045			Bid Up Heat Rate	2045-01-01	2095-01-01	0							
TO Coal 2050			Bid Up Heat Rate	2050-01-01	2100-01-01	0							
TO Coal 2055			Bid Up Heat Rate	2055-01-01	2105-01-01	0							
TO Coal 2060			Bid Up Heat Rate	2060-01-01	2110-01-01	0							
TO Coal 2065			Bid Up Heat Rate	2065-01-01	2115-01-01	0							
TO CCGT 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	0							
TO CCGT 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	0							
TO CCGT 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	0							
TO CCGT 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	0							
TO CCGT 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	0							
TO CCGT 2015			Bid Up Heat Rate	2015-01-01	2065-01-01	0							
TO CCGT 2020			Bid Up Heat Rate	2020-01-01	2070-01-01	0							
TO CCGT 2025			Bid Up Heat Rate	2025-01-01	2075-01-01	0							
TO CCGT 2030			Bid Up Heat Rate	2030-01-01	2080-01-01	0							
TO CCGT 2031			Bid Up Heat Rate	2031-01-01	2081-01-01	0							
TO CCGT 2032			Bid Up Heat Rate	2032-01-01	2082-01-01	0							
TO CCGT 2033			Bid Up Heat Rate	2033-01-01	2083-01-01	0							
TO CCGT 2034			Bid Up Heat Rate	2034-01-01	2084-01-01	0							
TO CCGT 2035			Bid Up Heat Rate	2035-01-01	2085-01-01	0							
TO CCGT 2036			Bid Up Heat Rate	2036-01-01	2086-01-01	0							
TO CCGT 2037			Bid Up Heat Rate	2037-01-01	2087-01-01	0							
TO CCGT 2038			Bid Up Heat Rate	2038-01-01	2088-01-01	0							
TO CCGT 2039			Bid Up Heat Rate	2039-01-01	2089-01-01	0							
TO CCGT 2040			Bid Up Heat Rate	2040-01-01	2090-01-01	0							
TO CCGT 2041			Bid Up Heat Rate	2041-01-01	2091-01-01	0							
TO CCGT 2042			Bid Up Heat Rate	2042-01-01	2092-01-01	0							
TO CCGT 2043			Bid Up Heat Rate	2043-01-01	2093-01-01	0							
TO CCGT 2044			Bid Up Heat Rate	2044-01-01	2094-01-01	0							
TO CCGT 2045			Bid Up Heat Rate	2045-01-01	2095-01-01	0							
TO CCGT 2046			Bid Up Heat Rate	2046-01-01	2096-01-01	0							
TO CCGT 2047			Bid Up Heat Rate	2047-01-01	2097-01-01	0							
TO CCGT 2048			Bid Up Heat Rate	2048-01-01	2098-01-01	0							
